year,customer_id,phone_no,gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days_inactive,customer_support_calls,churn
2020,117950,366-4225,1,34,131,0,0,230.1,10.4,26.08,83,3,3.0,0,0.0
2020,119245,333-5430,1,52,98,0,1,181.5,12.0,20.57,110,1,4.0,1,0.0
2020,119421,393-8199,0,41,90,0,1,275.7,7.7,31.25,124,3,3.0,1,0.0
2020,119553,416-8543,1,27,146,1,0,240.15,9.2,27.22,98,3,3.0,2,0.0
2020,120500,420-6465,1,36,51,1,0,230.4,14.1,26.11,92,4,4.0,0,1.0
2020,120696,360-9676,0,56,100,0,1,265.65,7.4,30.11,72,2,2.0,0,0.0
2020,120828,362-8280,1,40,126,0,0,183.6,11.5,20.81,106,3,4.0,1,0.0
2020,121366,408-1242,1,49,97,0,1,181.65,8.3,20.59,100,5,3.0,3,0.0
2020,121406,373-7690,1,36,55,0,1,283.95,12.5,32.18,102,4,4.0,2,0.0
2020,122388,344-5117,0,33,74,0,1,290.55,14.6,32.93,92,3,4.0,2,0.0
2020,122391,332-2258,0,47,86,0,1,184.5,13.3,20.91,103,4,4.0,1,0.0
2020,122530,379-6652,1,26,95,0,1,61.35,11.9,6.95,91,7,4.0,0,0.0
2020,122658,330-6626,0,43,75,1,0,250.05,10.1,28.34,121,3,3.0,3,0.0
2020,122904,403-6850,0,34,27,0,0,109.05,9.9,12.36,71,3,3.0,1,0.0
2020,124497,336-7600,1,42,65,0,0,281.85,7.5,31.94,86,6,3.0,1,0.0
2020,124837,413-2241,1,67,163,0,0,371.55,9.6,42.11,82,7,3.0,0,1.0
2020,124872,407-9244,0,37,44,0,0,214.8,7.6,24.34,77,4,3.0,1,0.0
2020,125199,354-9492,0,46,166,0,0,411.45,10.9,46.63,119,5,3.0,0,0.0
2020,126610,336-9901,1,31,92,0,0,209.7,9.4,23.77,135,7,3.0,2,0.0
2020,126730,369-2899,0,49,84,0,0,254.25,10.6,28.82,70,7,3.0,0,0.0
2020,126800,332-2965,1,32,45,0,0,239.7,10.6,27.17,93,3,3.0,2,0.0
2020,127591,372-3987,0,43,140,0,0,187.95,8.4,21.3,94,4,3.0,1,0.0
2020,128038,421-2659,1,33,122,0,0,161.85,9.5,18.34,119,3,3.0,2,0.0
2020,128738,330-6436,0,39,50,0,1,454.05,13.6,51.46,103,14,4.0,3,0.0
2020,128984,368-5437,0,27,132,0,0,289.95,11.6,32.86,119,4,4.0,5,1.0
2020,129762,359-5718,0,46,119,0,1,325.65,8.0,36.91,93,5,3.0,2,0.0
2020,130327,370-9000,0,36,134,0,0,363.6,11.8,41.21,115,6,4.0,1,0.0
2020,130732,382-4024,0,52,89,0,0,211.65,10.8,23.99,73,2,3.0,2,0.0
2020,130772,405-4920,1,41,109,0,0,397.05,9.5,45.0,86,9,3.0,1,1.0
2020,131070,334-9182,1,64,21,0,1,199.05,12.9,22.56,78,7,4.0,3,0.0
2020,131549,404-4486,1,39,163,0,0,183.6,12.5,20.81,97,7,4.0,1,0.0
2020,132579,409-7494,0,35,167,0,0,249.6,9.9,28.29,95,5,3.0,1,0.0
2020,132772,372-2296,0,52,75,0,1,176.25,4.2,19.98,114,7,2.0,3,0.0
2020,133119,410-9961,1,43,86,0,0,186.15,6.7,21.1,119,8,2.0,3,0.0
2020,134191,403-7627,0,41,35,0,1,362.55,9.4,41.09,68,4,3.0,1,0.0
2020,134483,406-8809,1,31,177,0,0,349.2,12.5,39.58,77,7,4.0,2,0.0
2020,135693,336-5920,1,37,122,0,0,348.75,11.9,39.53,91,2,4.0,0,0.0
2020,136635,335-3320,1,31,118,0,0,210.6,7.9,23.87,155,1,3.0,0,0.0
2020,136931,343-4147,1,34,87,1,1,332.4,11.5,37.67,124,3,4.0,1,0.0
2020,136940,339-4317,1,44,95,0,1,194.25,11.9,22.02,115,3,4.0,1,0.0
2020,137780,342-3678,1,35,103,1,0,94.2,9.4,10.68,78,4,3.0,3,0.0
2020,137959,376-1713,1,46,135,0,0,370.2,12.6,41.96,109,5,4.0,1,0.0
2020,138375,354-4577,0,34,144,0,0,301.65,13.2,34.19,119,2,4.0,1,0.0
2020,138462,378-2940,0,32,148,0,1,379.35,12.3,42.99,99,1,4.0,1,0.0
2020,138764,395-4757,1,28,70,0,0,189.45,9.6,21.47,96,2,3.0,0,0.0
2020,138770,393-8736,1,48,149,0,0,249.9,8.2,28.32,131,6,3.0,7,0.0
2020,139612,405-5305,0,24,16,0,0,344.4,10.8,39.03,91,2,3.0,0,1.0
2020,139643,407-7258,0,33,54,1,0,285.75,9.7,32.39,111,2,3.0,2,1.0
2020,139974,333-4154,1,46,83,0,0,303.45,6.8,34.39,82,4,2.0,0,0.0
2020,141174,398-8385,1,39,72,0,0,379.5,9.8,43.01,89,4,3.0,0,0.0
2020,141988,391-6607,1,43,30,0,0,341.1,12.5,38.66,134,3,4.0,0,0.0
2020,142130,406-3069,1,36,56,0,0,243.45,14.8,27.59,115,1,4.0,4,1.0
2020,143708,386-2923,1,24,93,0,0,286.05,8.1,32.42,121,3,3.0,3,0.0
2020,144052,422-9964,1,48,72,0,0,263.25,11.8,29.84,96,3,4.0,1,0.0
2020,144623,332-8103,1,34,91,0,1,409.5,9.6,46.41,114,2,3.0,1,0.0
2020,145394,383-1657,1,37,110,1,0,439.95,14.5,49.86,91,4,4.0,0,1.0
2020,146116,368-9860,1,48,137,0,0,165.75,10.5,18.79,64,3,3.0,3,0.0
2020,146259,331-1391,0,34,149,0,0,363.75,10.0,41.23,80,3,3.0,3,1.0
2020,146844,364-7644,0,38,55,0,1,195.75,11.0,22.19,114,5,3.0,4,1.0
2020,147756,387-1343,0,40,72,1,1,209.7,5.5,23.77,88,6,2.0,0,0.0
2020,147858,409-8796,0,37,128,0,0,324.0,12.7,36.72,74,4,4.0,1,0.0
2020,148558,343-4696,1,38,132,0,0,121.65,10.3,13.79,115,2,3.0,0,0.0
2020,148966,405-7676,0,32,146,0,0,223.95,7.9,25.38,100,4,3.0,7,1.0
2020,149137,373-7037,0,39,134,0,1,325.2,8.6,36.86,83,2,3.0,0,0.0
2020,149162,346-2530,0,40,99,0,0,94.35,8.5,10.69,121,5,3.0,1,0.0
2020,149963,385-2683,1,39,107,0,0,291.75,12.7,33.07,106,1,4.0,2,0.0
2020,151056,375-5439,0,37,38,0,1,295.8,3.9,33.52,104,2,2.0,0,0.0
2020,152152,382-8518,1,28,64,0,0,252.0,10.1,28.56,98,3,3.0,2,0.0
2020,152306,402-3599,1,26,64,0,1,301.95,12.3,34.22,127,3,3.0,1,0.0
2020,152461,331-5962,1,44,172,0,1,412.35,8.8,46.73,123,2,3.0,1,0.0
2020,153266,420-8435,0,36,80,1,0,283.65,13.9,32.15,116,3,4.0,2,1.0
2020,153759,339-2616,0,40,86,0,1,338.25,9.8,38.34,81,2,3.0,0,0.0
2020,154131,395-9215,1,46,82,0,0,283.8,10.6,32.16,83,5,3.0,3,1.0
2020,154418,338-1027,1,39,137,1,0,202.65,12.3,22.97,81,2,4.0,2,1.0
2020,155230,355-9324,1,31,92,0,0,374.1,9.1,42.4,116,3,3.0,0,0.0
2020,155960,406-1349,0,36,161,1,0,284.4,1.3,32.23,137,6,1.0,1,0.0
2020,157212,421-9752,0,50,39,0,1,212.55,12.0,24.09,131,5,4.0,1,0.0
2020,157245,335-1697,1,34,108,0,0,297.75,9.4,33.75,75,3,3.0,0,1.0
2020,157314,417-7973,0,38,66,0,1,344.1,8.0,39.0,119,1,3.0,2,0.0
2020,157519,408-9463,0,32,94,0,0,261.0,7.9,29.58,94,1,3.0,1,0.0
2020,158478,421-9401,1,36,92,1,0,396.45,9.3,44.93,73,5,3.0,0,0.0
2020,159304,399-8845,1,30,110,0,1,354.45,9.7,40.17,82,6,3.0,1,0.0
2020,159610,355-5009,0,45,94,1,1,295.65,9.5,33.51,103,5,3.0,4,0.0
2020,159647,348-7484,1,57,65,0,1,423.45,12.0,47.99,93,4,4.0,1,0.0
2020,161688,340-1876,0,33,162,0,1,269.55,9.3,30.55,105,8,3.0,1,1.0
2020,162136,349-4396,0,33,10,0,0,279.15,11.4,31.64,57,6,4.0,2,0.0
2020,162835,347-7773,0,37,128,0,0,154.95,6.4,17.56,95,7,2.0,0,0.0
2020,162952,377-4518,1,33,156,1,0,415.5,8.3,47.09,96,3,3.0,1,0.0
2020,162977,382-6135,1,30,100,0,1,323.85,11.6,36.7,157,4,4.0,1,0.0
2020,163272,399-6786,1,35,63,0,0,124.5,13.0,14.11,89,3,4.0,0,0.0
2020,164109,380-6631,0,40,119,0,1,241.95,6.6,27.42,92,8,2.0,1,0.0
2020,164123,422-8268,0,33,107,1,0,291.6,11.2,33.05,93,7,4.0,2,0.0
2020,164455,334-2577,1,46,95,0,0,357.15,11.8,40.48,115,4,4.0,4,0.0
2020,164592,410-3390,1,41,101,0,0,309.9,14.6,35.12,100,3,3.0,0,0.0
2020,165319,403-9733,0,66,68,0,0,223.2,12.1,25.3,103,3,3.0,3,0.0
2020,165359,364-7719,1,36,111,0,0,259.2,7.9,29.38,104,3,3.0,4,1.0
2020,166475,340-3011,0,66,53,0,0,307.65,10.7,34.87,142,2,3.0,3,0.0
2020,166805,376-4300,0,22,98,0,1,96.9,0.0,10.98,84,0,0.0,2,0.0
2020,168259,330-1835,0,31,67,0,0,257.55,11.9,29.19,111,4,4.0,2,0.0
2020,169001,360-8135,1,30,112,0,0,255.75,11.2,28.99,91,6,4.0,0,0.0
2020,169418,354-7339,0,24,94,0,0,272.7,9.2,30.91,97,2,3.0,4,0.0
2020,169543,396-9462,0,31,127,0,0,209.4,8.8,23.73,88,4,3.0,2,0.0
2020,170333,414-6426,1,39,161,0,0,109.2,11.8,12.38,91,2,4.0,2,0.0
2020,172251,369-4962,1,43,70,0,0,202.05,7.6,22.9,113,6,3.0,3,0.0
2020,172942,383-8848,0,33,61,0,1,433.05,8.6,49.08,49,3,3.0,0,0.0
2020,173571,411-3578,0,40,158,0,0,263.85,11.0,29.9,98,6,3.0,1,0.0
2020,173610,330-5462,0,48,108,0,0,154.5,7.9,17.51,89,3,3.0,1,0.0
2020,173726,361-1404,1,44,92,0,1,212.4,10.2,24.07,95,11,3.0,0,0.0
2020,174316,381-1026,0,44,118,0,1,384.45,11.7,43.57,130,1,4.0,1,0.0
2020,174421,330-1175,1,28,106,0,1,122.4,9.9,13.87,113,4,3.0,1,0.0
2020,174429,370-8379,1,26,192,0,0,332.4,12.7,37.67,83,6,4.0,4,0.0
2020,174528,416-7307,1,49,38,0,0,206.7,14.1,23.43,77,3,4.0,2,0.0
2020,174686,336-6997,1,27,136,0,0,378.6,10.7,42.91,110,3,3.0,2,0.0
2020,175022,371-1727,0,29,103,0,0,225.9,10.4,25.6,104,8,3.0,8,1.0
2020,175524,364-2439,0,39,116,0,1,300.6,8.3,34.07,100,4,3.0,1,0.0
2020,175540,331-6229,1,34,49,0,1,321.6,8.0,36.45,107,13,3.0,3,0.0
2020,176671,405-9496,0,26,118,0,0,281.1,12.2,31.86,97,6,4.0,1,0.0
2020,177770,352-8305,0,36,40,0,1,222.15,6.2,25.18,102,5,2.0,2,0.0
2020,178283,396-8400,0,37,130,0,0,180.75,14.3,20.49,107,2,4.0,1,0.0
2020,178451,408-1513,1,41,37,0,0,299.25,8.1,33.92,123,4,3.0,2,0.0
2020,178539,330-2693,0,28,112,1,0,242.85,10.7,27.52,134,4,3.0,1,0.0
2020,179241,372-4722,1,35,125,0,0,190.05,14.4,21.54,112,7,4.0,2,0.0
2020,179806,353-1941,0,43,9,0,1,290.7,13.3,32.95,102,2,4.0,1,0.0
2020,180041,337-7377,1,40,72,0,1,139.2,5.8,15.78,83,7,2.0,1,0.0
2020,180402,417-6330,0,29,103,0,0,260.25,9.7,29.5,66,2,3.0,3,0.0
2020,180609,337-7739,0,42,57,0,0,223.95,11.9,25.38,101,3,4.0,2,0.0
2020,180816,372-5262,1,43,140,0,0,243.9,8.2,27.64,66,2,3.0,1,0.0
2020,182008,341-4570,0,47,88,0,1,272.4,11.4,30.87,104,4,4.0,1,0.0
2020,182401,357-4936,0,50,142,0,1,330.75,5.9,37.49,109,9,2.0,2,0.0
2020,183297,373-2903,0,38,45,0,1,295.2,7.7,33.46,85,2,3.0,1,0.0
2020,183663,349-9566,1,32,92,0,0,302.85,13.7,34.32,80,6,4.0,3,0.0
2020,184322,373-4274,1,31,88,0,0,92.85,8.8,10.52,110,2,3.0,3,0.0
2020,185424,410-3782,0,37,57,1,1,351.75,11.4,39.87,94,4,4.0,2,0.0
2020,185702,386-6306,1,28,115,0,1,255.75,13.6,28.99,71,5,4.0,6,0.0
2020,185871,341-7686,1,36,113,0,0,91.8,13.7,10.4,114,3,4.0,5,1.0
2020,185880,355-1113,1,45,67,0,1,157.35,9.6,17.83,128,9,3.0,1,0.0
2020,186513,387-9301,1,51,58,0,1,360.6,11.2,40.87,108,3,4.0,1,0.0
2020,186866,405-1780,1,37,101,0,0,314.4,7.6,35.63,85,2,3.0,3,0.0
2020,187479,331-5999,1,36,129,0,1,289.2,16.4,32.78,118,5,3.0,1,0.0
2020,187919,391-7661,0,49,79,0,1,154.65,12.2,17.53,92,8,3.0,3,0.0
2020,187933,384-1549,1,21,100,0,0,268.65,10.2,30.45,116,10,3.0,1,0.0
2020,187947,389-7012,1,38,130,0,0,316.8,6.3,35.9,80,9,2.0,2,0.0
2020,188158,355-2464,0,35,179,0,0,430.95,10.5,48.84,112,4,3.0,0,1.0
2020,188310,395-5015,1,34,98,0,1,272.4,12.9,30.87,121,4,4.0,2,0.0
2020,189354,360-7404,1,32,37,0,1,397.05,10.4,45.0,102,7,3.0,0,0.0
2020,189451,362-1407,1,45,72,0,1,330.0,14.7,37.4,71,6,4.0,3,0.0
2020,190926,372-5384,1,34,137,0,0,172.5,7.3,19.55,61,4,2.0,3,0.0
2020,192260,418-5141,1,25,127,0,1,123.3,5.1,13.97,104,6,2.0,0,0.0
2020,192621,343-4806,0,28,72,0,0,326.7,10.4,37.03,91,5,3.0,4,0.0
2020,192653,391-6709,0,37,17,0,1,297.75,8.1,33.75,130,10,3.0,1,0.0
2020,193284,379-3132,1,35,129,0,0,215.55,11.4,24.43,86,8,4.0,4,0.0
2020,193457,417-6774,1,36,114,0,1,309.3,11.4,35.05,83,6,4.0,1,0.0
2020,194533,330-7754,1,36,91,1,0,217.5,16.7,24.65,151,3,5.0,2,1.0
2020,194671,338-7709,0,30,93,0,1,328.05,9.4,37.18,85,5,3.0,2,0.0
2020,195935,332-9118,1,32,101,0,1,313.8,9.5,35.56,100,3,3.0,0,0.0
2020,196238,419-6418,1,47,57,1,1,354.75,12.2,40.21,117,3,4.0,2,0.0
2020,196348,378-3722,0,31,126,1,1,367.35,9.7,41.63,136,6,3.0,4,0.0
2020,196428,401-2581,1,41,130,0,0,190.5,6.1,21.59,99,6,2.0,0,0.0
2020,197904,366-2541,1,43,83,0,1,143.85,13.3,16.3,109,4,4.0,0,0.0
2020,197908,417-9128,1,62,116,0,0,325.95,11.3,36.94,76,3,4.0,2,0.0
2020,198161,353-3759,1,42,87,0,0,226.5,9.7,25.67,127,3,3.0,5,1.0
2020,199976,369-5942,1,29,149,0,0,234.0,8.9,26.52,104,8,3.0,0,0.0
2020,200271,417-2716,0,35,117,0,0,253.2,15.5,28.7,106,4,5.0,0,0.0
2020,200342,360-2107,0,34,50,0,1,379.35,8.5,42.99,146,4,3.0,3,0.0
2020,201346,339-7541,0,53,74,0,0,261.15,8.3,29.6,123,5,3.0,2,1.0
2020,201583,416-2778,1,42,152,1,1,356.25,14.2,40.38,80,3,4.0,9,1.0
2020,201900,410-4023,1,52,96,0,1,218.7,9.9,24.79,96,2,3.0,1,0.0
2020,202249,415-2176,0,45,159,0,1,276.15,16.9,31.3,101,3,5.0,0,0.0
2020,202498,413-7170,1,29,162,0,1,337.35,12.1,38.23,61,2,4.0,0,0.0
2020,203048,335-3681,0,34,75,0,0,221.25,16.4,25.08,68,3,5.0,2,0.0
2020,203849,332-4289,1,49,118,0,0,204.15,11.3,23.14,90,4,4.0,1,0.0
2020,204104,387-5453,0,40,54,0,0,408.9,9.5,46.34,111,2,3.0,1,1.0
2020,204191,350-1040,0,35,45,0,0,117.3,18.0,13.29,100,3,3.0,1,0.0
2020,204826,411-6663,0,22,87,0,0,219.45,5.3,24.87,66,9,2.0,1,0.0
2020,204830,393-7892,1,41,37,1,1,224.55,9.2,25.45,90,4,3.0,1,0.0
2020,205057,334-1275,1,45,155,0,0,305.1,8.9,34.58,119,4,3.0,0,1.0
2020,205411,343-1965,0,26,75,1,0,316.95,9.7,35.92,63,4,3.0,4,1.0
2020,205473,401-7359,1,30,105,0,0,421.95,8.7,47.82,109,3,3.0,0,1.0
2020,208263,399-3164,1,30,155,0,0,285.45,8.0,32.35,134,3,3.0,1,0.0
2020,209073,384-7724,1,38,103,0,0,211.95,6.4,24.02,96,2,2.0,1,0.0
2020,209779,330-2849,1,39,43,0,0,362.85,5.9,41.12,104,3,2.0,1,0.0
2020,210158,397-6255,1,37,100,0,0,324.3,10.2,36.75,127,3,3.0,0,0.0
2020,210685,409-8814,0,39,77,0,0,350.7,7.6,39.75,104,3,3.0,2,0.0
2020,210746,396-6247,1,35,123,0,1,405.6,15.4,45.97,113,7,5.0,1,0.0
2020,211508,380-2758,1,31,5,0,0,298.8,13.3,33.86,85,3,4.0,3,0.0
2020,212407,355-9475,0,31,129,0,0,279.0,11.5,31.62,63,6,4.0,4,0.0
2020,212825,335-3913,0,45,186,0,1,111.45,14.5,12.63,90,3,4.0,2,0.0
2020,212914,387-7757,0,35,64,0,1,436.65,7.5,49.49,67,2,3.0,1,0.0
2020,213222,368-2845,1,30,139,0,0,207.15,8.3,23.48,63,2,3.0,1,0.0
2020,213247,332-8160,1,56,149,0,1,271.05,12.6,30.72,53,3,4.0,3,0.0
2020,213468,361-3337,1,42,19,0,0,279.15,14.6,31.64,127,7,4.0,2,0.0
2020,213546,336-5661,1,39,74,0,0,205.05,9.8,23.24,114,4,3.0,0,0.0
2020,213849,380-4080,0,44,89,1,1,168.9,11.1,19.14,116,2,3.0,0,1.0
2020,214005,342-7514,0,29,80,0,0,240.9,10.7,27.3,88,1,3.0,1,0.0
2020,214267,348-8015,1,29,95,1,1,330.3,4.1,37.43,82,2,2.0,0,1.0
2020,214276,392-6331,1,50,111,0,0,295.65,9.3,33.51,101,11,3.0,0,0.0
2020,214448,399-5426,0,35,87,0,0,307.2,9.5,34.82,89,3,3.0,0,0.0
2020,214544,373-5928,0,35,127,0,1,214.8,11.6,24.34,77,1,4.0,1,0.0
2020,214729,327-5817,0,34,98,0,1,269.85,12.8,30.58,76,7,4.0,3,0.0
2020,215262,365-5682,1,24,147,1,1,329.85,8.1,37.38,111,4,3.0,3,0.0
2020,215342,374-1981,0,50,34,0,0,440.55,11.0,49.93,76,10,3.0,2,1.0
2020,216475,409-5519,1,37,116,0,0,241.05,8.2,27.32,144,5,3.0,0,0.0
2020,217688,390-3873,1,66,86,0,0,189.45,9.8,21.47,95,7,3.0,2,0.0
2020,217894,337-2442,0,61,115,1,0,270.0,12.4,30.6,70,3,4.0,1,0.0
2020,218827,333-2611,0,33,55,0,0,291.15,7.0,33.0,136,7,2.0,2,0.0
2020,218905,354-7314,1,38,73,0,0,297.45,14.8,33.71,87,8,4.0,3,0.0
2020,219087,363-2602,1,38,114,0,0,287.25,0.0,32.56,118,0,0.0,0,0.0
2020,219267,363-8824,0,46,99,0,0,220.05,8.9,24.94,98,1,3.0,3,0.0
2020,219381,353-3492,1,29,131,0,1,203.85,9.4,23.1,121,4,3.0,1,0.0
2020,220614,392-1616,1,37,122,0,1,380.55,9.2,43.13,123,5,3.0,7,0.0
2020,222229,339-7485,0,30,138,1,1,337.8,11.7,38.28,99,4,4.0,0,0.0
2020,223051,343-3961,1,39,87,0,0,173.1,13.1,19.62,69,5,4.0,2,0.0
2020,223234,370-7574,0,19,121,0,1,297.6,5.8,33.73,77,3,2.0,3,1.0
2020,223616,345-3451,1,37,78,0,0,112.5,9.5,12.75,83,6,3.0,3,0.0
2020,224385,348-1706,1,49,110,0,0,294.15,12.9,33.34,71,1,4.0,3,0.0
2020,224478,419-6133,1,76,153,0,0,290.7,8.5,32.95,108,3,3.0,1,0.0
2020,224623,413-1789,1,39,134,0,0,212.55,8.8,24.09,60,6,3.0,0,0.0
2020,224728,363-8244,1,37,171,0,1,280.35,5.8,31.77,64,3,3.0,1,0.0
2020,225874,393-4823,1,42,82,0,0,494.7,10.6,56.07,102,6,3.0,0,1.0
2020,226031,408-6725,0,31,63,0,0,317.7,10.7,36.01,99,9,3.0,3,0.0
2020,226248,380-6342,1,42,125,0,1,354.15,9.1,40.14,107,4,3.0,2,0.0
2020,227723,403-1769,1,30,119,0,0,285.6,10.0,32.37,111,1,3.0,2,0.0
2020,229419,361-8113,0,30,132,1,1,300.45,12.9,34.05,91,3,4.0,2,0.0
2020,229564,362-5889,0,36,85,0,0,353.7,12.0,40.09,99,3,4.0,0,0.0
2020,229704,397-7411,1,30,29,0,0,236.1,9.3,26.76,92,2,3.0,1,0.0
2020,232051,396-9656,1,56,17,0,0,242.25,8.6,27.46,106,5,3.0,1,0.0
2020,232605,359-9972,0,35,149,0,1,310.05,10.9,35.14,80,3,3.0,1,0.0
2020,232757,397-9184,1,36,93,0,1,228.45,11.3,25.89,130,5,4.0,7,0.0
2020,232810,356-1889,1,39,39,0,0,240.6,9.1,27.27,106,5,3.0,2,0.0
2020,232955,392-5941,0,40,95,0,0,297.6,10.1,33.73,99,3,3.0,0,0.0
2020,233281,382-5478,0,40,55,0,0,430.05,6.9,48.74,122,5,2.0,2,0.0
2020,233889,335-4584,1,29,146,0,0,309.45,6.1,35.07,91,3,2.0,1,0.0
2020,234369,380-5102,1,24,115,0,0,149.55,14.1,16.95,99,4,4.0,2,0.0
2020,234709,370-9533,0,38,138,0,1,29.25,7.9,3.32,111,1,3.0,0,0.0
2020,235379,343-6940,0,40,89,0,0,319.5,9.1,36.21,126,1,3.0,1,1.0
2020,235547,411-2284,1,33,99,0,0,361.65,11.6,40.99,109,10,4.0,1,0.0
2020,235672,371-5556,0,51,111,0,0,219.3,8.7,24.85,116,3,3.0,3,0.0
